chr	pos	N	X
chr18	3014904	19	9
chr18	3031032	9	0
chr18	3031044	9	3
chr18	3031065	27	11
chr18	3031069	19	9
chr18	3031082	42	15
chr18	3031089	23	6
chr18	3031092	23	9
chr18	3031244	8	2
chr18	3031256	7	3
chr18	3031277	23	10
chr18	3031281	15	7
chr18	3031294	49	20
chr18	3031301	34	11
chr18	3031304	34	11
chr18	3031411	10	5
chr18	3031456	18	7
chr18	3031468	18	10
chr18	3031489	26	8
chr18	3031493	8	1
chr18	3031506	46	11
chr18	3031513	38	8
chr18	3031516	38	10
chr18	3031598	9	4
chr18	3031623	9	3
chr18	3031668	8	0
chr18	3031680	7	0
chr18	3031701	27	6
chr18	3031705	19	5
chr18	3031719	19	5
chr18	3037325	18	8
chr18	3040131	1	0
chr18	3040161	1	1
chr18	3040358	1	0
chr18	3040395	6	5
chr18	3040406	6	5
chr18	3047968	8	8
chr18	3047980	11	8
chr18	3047982	11	8
chr18	3048006	3	0
chr18	3051809	9	0
chr18	3051821	9	0
chr18	3051823	9	0
chr18	3051902	1	1
chr18	3052681	16	11
chr18	3052711	16	1
chr18	3052756	7	2
chr18	3092608	2	0
chr18	3092625	2	0
chr18	3092627	2	0
chr18	3092642	6	2
chr18	3092666	4	2
chr18	3092677	27	12
chr18	3092695	27	14
chr18	3092704	27	13
chr18	3092819	45	35
chr18	3098304	19	11
chr18	3098454	21	11
chr18	3101799	22	4
chr18	3101872	19	10
chr18	3101887	19	0
chr18	3101899	19	10
chr18	3112983	7	5
chr18	3141075	15	5
chr18	3141225	22	7
chr18	3155844	12	6
chr18	3171736	25	13
chr18	3171748	25	0
chr18	3171858	10	7
chr18	3196581	18	11
chr18	3196675	1	0
chr18	3196691	1	1
chr18	3196736	24	17
chr18	3196745	5	0
chr18	3196760	23	20
chr18	3196777	18	16
chr18	3196779	18	16
chr18	3196794	18	16
chr18	3203345	8	5
chr18	3203467	10	9
chr18	3216958	1	1
chr18	3216982	1	1
chr18	3217222	3	2
chr18	3217224	3	3
chr18	3217226	3	3
chr18	3217241	3	2
chr18	3217248	51	29
chr18	3217316	1	1
chr18	3217344	21	10
chr18	3217370	23	11
chr18	3217373	3	3
chr18	3217402	3	2
chr18	3217537	2	2
chr18	3217569	2	2
chr18	3226251	6	3
chr18	3226348	12	0
chr18	3227370	11	1
chr18	3227377	11	1
chr18	3227401	12	5
chr18	3227435	2	2
chr18	3227453	23	15
chr18	3227461	21	11
chr18	3227512	34	13
chr18	3227546	27	7
chr18	3227566	7	2
chr18	3227571	7	2
chr18	3227581	7	3
chr18	3232665	16	9
chr18	3232717	14	6
chr18	3233280	26	15
chr18	3233430	13	4
chr18	3255233	16	9
chr18	3255360	18	8
chr18	3336739	16	3
chr18	3336787	73	0
chr18	3336804	42	13
chr18	3336810	42	1
chr18	3336853	52	0
chr18	3336873	53	2
chr18	3336887	90	0
chr18	3336908	67	0
chr18	3336915	67	0
chr18	3336930	30	0
chr18	3336935	29	0
chr18	3336939	30	0
chr18	3337159	19	0
chr18	3337174	19	0
chr18	3337187	19	0
chr18	3337190	19	0
chr18	3337208	1	0
chr18	3337218	25	0
chr18	3337222	25	0
chr18	3337228	24	0
chr18	3337233	24	0
chr18	3337238	24	0
chr18	3337244	28	0
chr18	3337255	4	0
chr18	3337261	4	0
chr18	3337266	4	0
chr18	3337268	5	0
chr18	3337272	23	0
chr18	3337276	25	0
chr18	3337280	22	0
chr18	3337284	20	0
chr18	3337288	22	0
chr18	3337291	21	0
chr18	3337305	50	0
chr18	3337309	27	0
chr18	3337317	29	0
chr18	3337319	29	0
chr18	3337324	28	0
chr18	3337332	29	0
chr18	3337335	29	0
chr18	3337339	29	0
chr18	3337438	18	0
chr18	3337447	17	0
chr18	3337450	18	0
chr18	3337454	18	0
chr18	3337457	18	0
chr18	3337470	17	0
chr18	3337976	26	0
chr18	3337982	48	0
chr18	3337984	48	0
chr18	3337993	48	0
chr18	3338006	48	0
chr18	3338015	22	0
chr18	3347896	27	13
chr18	3347936	5	0
chr18	3368536	47	15
chr18	3368649	34	18
chr18	3370048	5	1
chr18	3370113	23	20
chr18	3370141	23	16
chr18	3383064	13	0
chr18	3383071	13	0
chr18	3383083	13	0
chr18	3383161	32	1
chr18	3383178	32	0
chr18	3383181	32	0
chr18	3383191	38	0
chr18	3383202	8	0
chr18	3383215	8	0
chr18	3383221	7	0
chr18	3383232	22	0
chr18	3383240	22	0
chr18	3383246	25	0
chr18	3383249	25	0
chr18	3383265	26	0
chr18	3383275	21	0
chr18	3383282	17	0
chr18	3383284	17	0
chr18	3383296	39	0
chr18	3383299	39	0
chr18	3383302	40	0
chr18	3383305	40	0
chr18	3383316	23	0
chr18	3383322	40	0
chr18	3383330	44	0
chr18	3383339	39	1
chr18	3383345	45	0
chr18	3383362	33	3
chr18	3383376	16	3
chr18	3383420	21	0
chr18	3383451	23	0
chr18	3383454	23	0
chr18	3383464	24	0
chr18	3383475	24	0
chr18	3383483	24	0
chr18	3406071	18	15
chr18	3448701	1	0
chr18	3480978	2	0
chr18	3484663	12	5
chr18	3484813	19	6
chr18	3498935	20	2
chr18	3498940	21	0
chr18	3498975	30	0
chr18	3499069	1	1
chr18	3507002	6	0
chr18	3507028	52	0
chr18	3507051	78	7
chr18	3507081	31	0
chr18	3507132	40	0
chr18	3507136	40	0
chr18	3507139	40	0
chr18	3507141	40	0
chr18	3507145	40	0
chr18	3507151	40	0
chr18	3507154	40	0
chr18	3507183	5	0
chr18	3507261	2	0
chr18	3507294	29	0
chr18	3507331	11	7
chr18	3507337	7	7
chr18	3507381	22	0
chr18	3507398	12	0
chr18	3507409	12	0
chr18	3507419	9	4
chr18	3507423	31	0
chr18	3507450	31	0
chr18	3507458	23	0
chr18	3507503	15	0
chr18	3507784	12	0
chr18	3507787	12	0
chr18	3507806	13	0
chr18	3507808	13	0
chr18	3507818	11	0
chr18	3507827	1	0
chr18	3507886	26	0
chr18	3507892	25	0
chr18	3507894	26	0
chr18	3507912	26	0
chr18	3507915	46	0
chr18	3507919	20	0
chr18	3507928	20	0
chr18	3507931	20	0
chr18	3507961	1	1
chr18	3507979	1	0
chr18	3507990	3	0
chr18	3507994	3	0
chr18	3508001	2	0
chr18	3508014	6	0
chr18	3508022	4	0
chr18	3508027	17	0
chr18	3508035	17	1
chr18	3508039	17	0
chr18	3508042	17	0
chr18	3508049	17	0
chr18	3508051	17	0
chr18	3508053	16	0
chr18	3508059	33	1
chr18	3508065	17	0
chr18	3508073	16	0
chr18	3508088	35	5
chr18	3508100	18	0
chr18	3508107	18	1
chr18	3508111	18	1
chr18	3508181	39	0
chr18	3508186	40	0
chr18	3508189	40	0
chr18	3508195	40	0
chr18	3508197	40	0
chr18	3508202	38	0
chr18	3508213	42	0
chr18	3508257	5	0
chr18	3508291	25	1
chr18	3508293	24	0
chr18	3508301	24	0
chr18	3508306	49	0
chr18	3508334	26	1
chr18	3508338	26	0
chr18	3508341	1	0
chr18	3508369	18	0
chr18	3508385	18	0
chr18	3508398	40	0
chr18	3508409	22	0
chr18	3508416	46	4
chr18	3508444	47	6
chr18	3508485	31	0
chr18	3508488	30	0
chr18	3508506	31	0
chr18	3508509	31	0
chr18	3508519	31	0
chr18	3534002	2	0
chr18	3541935	1	0
chr18	3541993	1	0
chr18	3542381	13	12
chr18	3542403	12	10
chr18	3542501	17	17
chr18	3542504	17	8
chr18	3542531	17	17
chr18	3542620	24	23
chr18	3542633	24	23
chr18	3542638	24	23
chr18	3580263	9	4
chr18	3580413	42	23
chr18	3580518	6	5
chr18	3586414	13	13
chr18	3586533	10	6
chr18	3586536	9	4
chr18	3586557	20	15
chr18	3586569	29	29
chr18	3586601	33	32
chr18	3586635	15	14
chr18	3586728	18	18
chr18	3586736	18	18
chr18	3586750	18	18
chr18	3604192	24	7
chr18	3604339	13	7
chr18	3604891	9	5
chr18	3604943	12	7
chr18	3609053	7	7
chr18	3609062	9	9
chr18	3609064	10	10
chr18	3609094	3	0
chr18	3614717	4	0
chr18	3614806	2	0
chr18	3620166	4	1
chr18	3620170	4	2
chr18	3620178	12	9
chr18	3620180	13	11
chr18	3620200	13	7
chr18	3620207	9	4
chr18	3621099	4	4
chr18	3621115	15	13
chr18	3621125	15	10
chr18	3621133	15	13
chr18	3621138	11	9
chr18	3622061	25	20
chr18	3622095	25	20
chr18	3622172	21	18
chr18	3622530	2	2
chr18	3622712	11	6
chr18	3701616	14	7
chr18	3701623	14	3
chr18	3705240	2	1
chr18	3705256	2	1
chr18	3705333	1	1
chr18	3705423	11	7
chr18	3705461	30	18
chr18	3705472	40	26
chr18	3705499	10	2
chr18	3711032	23	13
chr18	3711182	10	4
chr18	3723314	7	2
chr18	3723343	7	6
chr18	3723346	21	16
chr18	3723448	51	39
chr18	3723468	52	52
chr18	3763745	1	1
chr18	3763923	5	3
chr18	3785468	28	20
chr18	3785543	15	1
chr18	3785576	64	20
chr18	3785583	49	8
chr18	3785592	63	24
chr18	3785621	24	13
chr18	3785645	10	6
chr18	3785679	11	6
chr18	3785742	2	1
chr18	3785759	1	0
chr18	3785805	1	1
chr18	3818286	13	9
chr18	3818296	13	6
chr18	3818338	12	4
chr18	3840253	6	5
chr18	3840289	6	2
chr18	3840301	6	1
chr18	3840309	5	2
chr18	3854396	17	0
chr18	3864066	73	0
chr18	3864084	143	0
chr18	3864093	71	0
chr18	3864099	71	0
chr18	3864106	71	0
chr18	3864118	92	3
chr18	3864140	22	0
chr18	3864143	22	0
chr18	3864605	20	0
chr18	3864610	20	1
chr18	3864622	20	8
chr18	3864716	23	0
chr18	3869476	10	0
chr18	3869516	24	13
chr18	3869604	13	12
chr18	3869611	13	12
chr18	3875051	29	19
chr18	3875054	47	31
chr18	3875080	18	14
chr18	3875148	66	23
chr18	3875176	86	24
chr18	3875186	20	11
chr18	3875201	35	20
chr18	3875216	29	18
chr18	3875231	14	9
chr18	3875236	14	9
chr18	3879795	4	0
chr18	3880050	3	0
chr18	3900171	51	51
chr18	3900286	60	38
chr18	3927796	11	2
chr18	3927921	7	0
chr18	3955991	9	5
chr18	3956141	20	6
chr18	3973699	31	0
chr18	3973750	26	8
chr18	3973778	26	18
chr18	3976129	30	29
chr18	3976138	30	29
chr18	3976190	7	1
chr18	3976209	7	1
chr18	3976220	7	1
chr18	3976224	14	1
chr18	3976243	9	0
chr18	3976247	9	1
chr18	3976279	19	3
chr18	3976295	19	0
chr18	3976304	19	4
chr18	4022027	22	9
chr18	4022058	21	9
chr18	4022079	18	8
chr18	4022083	18	8
chr18	4022096	43	16
chr18	4022103	26	8
chr18	4022106	26	10
chr18	4022188	14	5
chr18	4022213	14	3
chr18	4022258	10	3
chr18	4022270	10	4
chr18	4022291	22	7
chr18	4022295	13	4
chr18	4022308	13	3
chr18	4022400	6	2
chr18	4022425	6	2
chr18	4022451	23	12
chr18	4022482	20	12
chr18	4022503	8	4
chr18	4022507	8	2
chr18	4022520	32	12
chr18	4022527	24	7
chr18	4022530	24	12
chr18	4022637	12	4
chr18	4022682	16	9
chr18	4022694	16	8
chr18	4022715	24	13
chr18	4022719	9	3
chr18	4022732	45	20
chr18	4022742	35	22
chr18	4022849	14	2
chr18	4022894	15	7
chr18	4022906	15	7
chr18	4022927	28	10
chr18	4022931	13	2
chr18	4022944	36	13
chr18	4022951	23	7
chr18	4022954	23	9
chr18	4023036	9	2
chr18	4023061	9	3
chr18	4023106	6	2
chr18	4023118	6	1
chr18	4023139	17	9
chr18	4023143	12	6
chr18	4023156	12	4
chr18	4023248	5	3
chr18	4023273	5	2
chr18	4023318	7	0
chr18	4023330	7	0
chr18	4023351	27	11
chr18	4023355	20	6
chr18	4023369	20	7
chr18	4028975	14	6
chr18	4052616	1	0
chr18	4052636	1	0
chr18	4052664	3	0
chr18	4052670	3	0
chr18	4052673	3	0
chr18	4052676	3	0
chr18	4052679	4	0
chr18	4052692	1	0
chr18	4052702	2	0
chr18	4052718	2	0
chr18	4052720	2	0
chr18	4052724	2	0
chr18	4052741	2	0
chr18	4052744	2	0
chr18	4126854	9	0
chr18	4166700	15	8
chr18	4166849	32	8
chr18	4168539	1	0
chr18	4199292	11	0
chr18	4199300	173	16
chr18	4199305	179	14
chr18	4199309	181	15
chr18	4199320	181	0
chr18	4199322	181	15
chr18	4199327	170	15
chr18	4220817	18	0
chr18	4220820	18	12
chr18	4222498	6	4
chr18	4222529	14	6
chr18	4222533	8	3
chr18	4222582	20	12
chr18	4222590	20	8
chr18	4222608	20	8
chr18	4222688	9	8
chr18	4222733	14	9
chr18	4222742	6	6
chr18	4222758	14	2
chr18	4222768	9	4
chr18	4222786	41	27
chr18	4222794	32	21
chr18	4222812	32	21
chr18	4222880	4	3
chr18	4222883	4	2
chr18	4222892	4	2
chr18	4222906	4	3
chr18	4227852	24	10
chr18	4227862	24	8
chr18	4227904	12	7
chr18	4228467	59	19
chr18	4228613	9	3
chr18	4249452	21	4
chr18	4249491	8	0
chr18	4249499	8	6
chr18	4336675	20	17
chr18	4336763	33	25
chr18	4337493	5	3
chr18	4337497	5	2
chr18	4337510	5	3
chr18	4337662	11	0
chr18	4340682	6	0
chr18	4340709	6	0
chr18	4340721	11	11
chr18	4340753	11	11
chr18	4352969	67	30
chr18	4352999	66	20
chr18	4353017	1	0
chr18	4353025	1	0
chr18	4353051	34	2
chr18	4353067	33	0
chr18	4353078	49	0
chr18	4353090	27	0
chr18	4353095	27	0
chr18	4353115	21	0
chr18	4353181	15	0
chr18	4353191	15	0
chr18	4353207	21	0
chr18	4353217	6	0
chr18	4353225	15	0
chr18	4353240	17	0
chr18	4353243	10	0
chr18	4353255	21	0
chr18	4353259	10	0
chr18	4353269	10	0
chr18	4353288	10	2
chr18	4353379	24	13
chr18	4353399	25	14
chr18	4353408	51	14
chr18	4353425	26	0
chr18	4353427	47	0
chr18	4353440	45	10
chr18	4353454	21	0
chr18	4353461	21	0
chr18	4353524	26	1
chr18	4353556	37	0
chr18	4353568	12	0
chr18	4375790	11	0
chr18	4375795	11	0
chr18	4375799	11	0
chr18	4375806	11	0
chr18	4375810	11	0
chr18	4375925	9	0
chr18	4375927	9	0
chr18	4375956	9	0
chr18	4412308	1	0
chr18	4414985	13	6
chr18	4414989	13	3
chr18	4415001	13	4
chr18	4415051	4	0
chr18	4415081	4	1
chr18	4431501	1	1
chr18	4431511	1	1
chr18	4431519	1	1
chr18	4431589	4	4
chr18	4431618	4	4
chr18	4453012	30	17
chr18	4453021	30	26
chr18	4453064	19	9
chr18	4468228	20	0
chr18	4468375	13	6
chr18	4468936	16	8
chr18	4468988	17	11
chr18	4474210	35	10
chr18	4474236	31	7
chr18	4474267	1	0
chr18	4474293	1	0
chr18	4474301	1	0
chr18	4481347	7	3
chr18	4481351	7	2
chr18	4481406	22	15
chr18	4481483	32	18
chr18	4481517	32	23
chr18	4482437	7	6
chr18	4482442	15	13
chr18	4482450	15	9
chr18	4482460	15	8
chr18	4482476	8	5
chr18	4483481	8	3
chr18	4483491	22	9
chr18	4483506	21	15
chr18	4483511	22	14
chr18	4483516	15	9
chr18	4483542	2	2
chr18	4483544	1	1
chr18	4483552	1	1
